disability,limitation,accommodation
Bipolar Disorder,Attentiveness/Concentration,Coaching
Bipolar Disorder,Attentiveness/Concentration,Color Coded System
Bipolar Disorder,Attentiveness/Concentration,Flexible Schedule
Bipolar Disorder,Attentiveness/Concentration,Job Restructuring
Bipolar Disorder,Attentiveness/Concentration,Marginal Functions
Bipolar Disorder,Attentiveness/Concentration,Modified Break Schedule
Bipolar Disorder,Attentiveness/Concentration,Task Flow Chart
Bipolar Disorder,Attentiveness/Concentration,Task Separation
Bipolar Disorder,Attentiveness/Concentration,"Telework, Work from Home, Working Remotely"
Bipolar Disorder,Attentiveness/Concentration,"Uninterrupted ""Off"" Work Time"
Bipolar Disorder,Attentiveness/Concentration,Verbal Cues
Bipolar Disorder,Attentiveness/Concentration,Worksite Redesign / Modified Workspace
Bipolar Disorder,Attentiveness/Concentration,Written Instructions
Bipolar Disorder,Control of Anger/Emotions,Apps for Miscellaneous Mental Health / Control of Anger & Emotions
Bipolar Disorder,Control of Anger/Emotions,Behavior Modification Techniques
Bipolar Disorder,Control of Anger/Emotions,Counseling/Therapy
Bipolar Disorder,Control of Anger/Emotions,Disability Awareness/Etiquette Training
Bipolar Disorder,Control of Anger/Emotions,Employee Assistance Program
Bipolar Disorder,Control of Anger/Emotions,Environmental Sound Machines / Tinnitus Maskers / White Noise Machines
Bipolar Disorder,Control of Anger/Emotions,Flexible Schedule
Bipolar Disorder,Control of Anger/Emotions,Job Coaches
Bipolar Disorder,Control of Anger/Emotions,Job Restructuring
Bipolar Disorder,Control of Anger/Emotions,Simulated Skylights and Windows
Bipolar Disorder,Control of Anger/Emotions,Social Skill Builders
Bipolar Disorder,Control of Anger/Emotions,Strobe Lights
Bipolar Disorder,Control of Anger/Emotions,Sun Boxes and Lights
Bipolar Disorder,Control of Anger/Emotions,Supervisory Methods
Bipolar Disorder,Control of Anger/Emotions,Support Animal
Bipolar Disorder,Control of Anger/Emotions,Support Person
Bipolar Disorder,Decreased Stamina/Fatigue,Anti-fatigue Matting
Bipolar Disorder,Decreased Stamina/Fatigue,Ergonomic Equipment
Bipolar Disorder,Decreased Stamina/Fatigue,Stand-lean Stools
Bipolar Disorder,Decreased Stamina/Fatigue,Wearable Anti-fatigue Matting
Bipolar Disorder,Decreased Stamina/Fatigue,Aide/Assistant/Attendant
Bipolar Disorder,Decreased Stamina/Fatigue,Ergonomic Assessments
Bipolar Disorder,Decreased Stamina/Fatigue,Flexible Schedule
Bipolar Disorder,Decreased Stamina/Fatigue,Job Restructuring
Bipolar Disorder,Decreased Stamina/Fatigue,Marginal Functions
Bipolar Disorder,Decreased Stamina/Fatigue,Modified Break Schedule
Bipolar Disorder,Decreased Stamina/Fatigue,Periodic Rest Breaks
Bipolar Disorder,Decreased Stamina/Fatigue,Task Rotation
Bipolar Disorder,Decreased Stamina/Fatigue,Task Separation
Bipolar Disorder,Decreased Stamina/Fatigue,"Telework, Work from Home, Working Remotely"
Bipolar Disorder,Decreased Stamina/Fatigue,Worksite Redesign / Modified Workspace
Bipolar Disorder,Disruptive Behavior,Apps for Miscellaneous Mental Health / Control of Anger & Emotions
Bipolar Disorder,Disruptive Behavior,Behavior Modification Techniques
Bipolar Disorder,Disruptive Behavior,Counseling/Therapy
Bipolar Disorder,Disruptive Behavior,"Cubicle Doors, Shields, and Shades"
Bipolar Disorder,Disruptive Behavior,Disability Awareness/Etiquette Training
Bipolar Disorder,Disruptive Behavior,Employee Assistance Program
Bipolar Disorder,Disruptive Behavior,Environmental Sound Machines / Tinnitus Maskers / White Noise Machines
Bipolar Disorder,Disruptive Behavior,Flexible Schedule
Bipolar Disorder,Disruptive Behavior,Habit Monitoring
Bipolar Disorder,Disruptive Behavior,Job Coaches
Bipolar Disorder,Disruptive Behavior,Job Restructuring
Bipolar Disorder,Disruptive Behavior,Noise Canceling Headsets
Bipolar Disorder,Disruptive Behavior,On-site Mentoring
Bipolar Disorder,Disruptive Behavior,Periodic Rest Breaks
Bipolar Disorder,Disruptive Behavior,Reminders
Bipolar Disorder,Disruptive Behavior,Social Skill Builders
Bipolar Disorder,Disruptive Behavior,Strobe Lights
Bipolar Disorder,Disruptive Behavior,Supervisory Methods
Bipolar Disorder,Disruptive Behavior,Support Animal
Bipolar Disorder,Disruptive Behavior,Support Person
Bipolar Disorder,Disruptive Behavior,"Telework, Work from Home, Working Remotely"
Bipolar Disorder,Disruptive Behavior,Training Modifications
Bipolar Disorder,Disruptive Behavior,Worksite Redesign / Modified Workspace
Bipolar Disorder,Disruptive Behavior,Written Instructions
Bipolar Disorder,Erratic/Inconsistent Behavior,Apps for Miscellaneous Mental Health / Control of Anger & Emotions
Bipolar Disorder,Erratic/Inconsistent Behavior,Behavior Modification Techniques
Bipolar Disorder,Erratic/Inconsistent Behavior,Counseling/Therapy
Bipolar Disorder,Erratic/Inconsistent Behavior,"Cubicle Doors, Shields, and Shades"
Bipolar Disorder,Erratic/Inconsistent Behavior,Disability Awareness/Etiquette Training
Bipolar Disorder,Erratic/Inconsistent Behavior,Employee Assistance Program
Bipolar Disorder,Erratic/Inconsistent Behavior,Environmental Sound Machines / Tinnitus Maskers / White Noise Machines
Bipolar Disorder,Erratic/Inconsistent Behavior,Flexible Schedule
Bipolar Disorder,Erratic/Inconsistent Behavior,Habit Monitoring
Bipolar Disorder,Erratic/Inconsistent Behavior,Job Coaches
Bipolar Disorder,Erratic/Inconsistent Behavior,Job Restructuring
Bipolar Disorder,Erratic/Inconsistent Behavior,Noise Canceling Headsets
Bipolar Disorder,Erratic/Inconsistent Behavior,On-site Mentoring
Bipolar Disorder,Erratic/Inconsistent Behavior,Periodic Rest Breaks
Bipolar Disorder,Erratic/Inconsistent Behavior,Reminders
Bipolar Disorder,Erratic/Inconsistent Behavior,Social Skill Builders
Bipolar Disorder,Erratic/Inconsistent Behavior,Strobe Lights
Bipolar Disorder,Erratic/Inconsistent Behavior,Supervisory Methods
Bipolar Disorder,Erratic/Inconsistent Behavior,Support Animal
Bipolar Disorder,Erratic/Inconsistent Behavior,Support Person
Bipolar Disorder,Erratic/Inconsistent Behavior,"Telework, Work from Home, Working Remotely"
Bipolar Disorder,Erratic/Inconsistent Behavior,Training Modifications
Bipolar Disorder,Erratic/Inconsistent Behavior,Worksite Redesign / Modified Workspace
Bipolar Disorder,Erratic/Inconsistent Behavior,Written Instructions
Bipolar Disorder,Managing Time,Applications (apps)
Bipolar Disorder,Managing Time,Apps for Organization/ Time Management
Bipolar Disorder,Managing Time,Calendars and Planners
Bipolar Disorder,Managing Time,Checklists
Bipolar Disorder,Managing Time,Color Coded System
Bipolar Disorder,Managing Time,Electronic Organizers
Bipolar Disorder,Managing Time,Marginal Functions
Bipolar Disorder,Managing Time,"PDAs, Notetakers, and Laptops"
Bipolar Disorder,Managing Time,Personal On-Site Paging Devices
Bipolar Disorder,Managing Time,Reminders
Bipolar Disorder,Managing Time,Task Separation
Bipolar Disorder,Managing Time,Timers and Watches
Bipolar Disorder,Managing Time,Written Instructions
Bipolar Disorder,Non-compliant Behavior,Apps for Miscellaneous Mental Health / Control of Anger & Emotions
Bipolar Disorder,Non-compliant Behavior,"Cubicle Doors, Shields, and Shades"
Bipolar Disorder,Non-compliant Behavior,Environmental Sound Machines / Tinnitus Maskers / White Noise Machines
Bipolar Disorder,Non-compliant Behavior,Noise Canceling Headsets
Bipolar Disorder,Non-compliant Behavior,Behavior Modification Techniques
Bipolar Disorder,Non-compliant Behavior,Counseling/Therapy
Bipolar Disorder,Non-compliant Behavior,Employee Assistance Program
Bipolar Disorder,Non-compliant Behavior,Disability Awareness/Etiquette Training
Bipolar Disorder,Non-compliant Behavior,Flexible Schedule
Bipolar Disorder,Non-compliant Behavior,Habit Monitoring
Bipolar Disorder,Non-compliant Behavior,Job Restructuring
Bipolar Disorder,Non-compliant Behavior,On-site Mentoring
Bipolar Disorder,Non-compliant Behavior,Periodic Rest Breaks
Bipolar Disorder,Non-compliant Behavior,Reminders
Bipolar Disorder,Non-compliant Behavior,Supervisory Methods
Bipolar Disorder,Non-compliant Behavior,Support Person
Bipolar Disorder,Non-compliant Behavior,"Telework, Work from Home, Working Remotely"
Bipolar Disorder,Non-compliant Behavior,Worksite Redesign / Modified Workspace
Bipolar Disorder,Non-compliant Behavior,Training Modifications
Bipolar Disorder,Non-compliant Behavior,Written Instructions
Bipolar Disorder,Organizing/Planning/Prioritizing,Applications (apps)
Bipolar Disorder,Organizing/Planning/Prioritizing,Apps for Organization/ Time Management
Bipolar Disorder,Organizing/Planning/Prioritizing,Desk Organizers
Bipolar Disorder,Organizing/Planning/Prioritizing,Electronic Organizers
Bipolar Disorder,Organizing/Planning/Prioritizing,Ergonomic Equipment
Bipolar Disorder,Organizing/Planning/Prioritizing,Labels/Bulletin Board
Bipolar Disorder,Organizing/Planning/Prioritizing,Note Collection Software and Technology
Bipolar Disorder,Organizing/Planning/Prioritizing,Notepad or White Board
Bipolar Disorder,Organizing/Planning/Prioritizing,Organization Software
Bipolar Disorder,Organizing/Planning/Prioritizing,Professional Organizers
Bipolar Disorder,Organizing/Planning/Prioritizing,Timers and Watches
Bipolar Disorder,Organizing/Planning/Prioritizing,Calendars and Planners
Bipolar Disorder,Organizing/Planning/Prioritizing,Workflow Management Software
Bipolar Disorder,Organizing/Planning/Prioritizing,Job Coaches
Bipolar Disorder,Organizing/Planning/Prioritizing,Additional Training Time / Training Refreshers
Bipolar Disorder,Organizing/Planning/Prioritizing,Checklists
Bipolar Disorder,Organizing/Planning/Prioritizing,Color Coded System
Bipolar Disorder,Organizing/Planning/Prioritizing,"Color-coded Manuals, Outlines, and Maps"
Bipolar Disorder,Organizing/Planning/Prioritizing,Job Restructuring
Bipolar Disorder,Organizing/Planning/Prioritizing,On-site Mentoring
Bipolar Disorder,Organizing/Planning/Prioritizing,Organization/Prioritization Skills
Bipolar Disorder,Organizing/Planning/Prioritizing,"Recorded Directives, Messages, Materials"
Bipolar Disorder,Organizing/Planning/Prioritizing,Reminders
Bipolar Disorder,Organizing/Planning/Prioritizing,Supervisory Methods
Bipolar Disorder,Organizing/Planning/Prioritizing,Task Flow Chart
Bipolar Disorder,Organizing/Planning/Prioritizing,Task Identification
Bipolar Disorder,Organizing/Planning/Prioritizing,Task Separation
Bipolar Disorder,Organizing/Planning/Prioritizing,Written Instructions
Bipolar Disorder,Stress Intolerance,Apps for Anxiety and Stress
Bipolar Disorder,Stress Intolerance,Apps for Individuals with Bipolar Disorder
Bipolar Disorder,Stress Intolerance,Environmental Sound Machines / Tinnitus Maskers / White Noise Machines
Bipolar Disorder,Stress Intolerance,Simulated Skylights and Windows
Bipolar Disorder,Stress Intolerance,Sun Boxes and Lights
Bipolar Disorder,Stress Intolerance,Sun Simulating Desk Lamps
Bipolar Disorder,Stress Intolerance,Behavior Modification Techniques
Bipolar Disorder,Stress Intolerance,Counseling/Therapy
Bipolar Disorder,Stress Intolerance,Employee Assistance Program
Bipolar Disorder,Stress Intolerance,Communicate Another Way
Bipolar Disorder,Stress Intolerance,Complying with Behavior and Conduct Rules
Bipolar Disorder,Stress Intolerance,Flexible Schedule
Bipolar Disorder,Stress Intolerance,Instant Messaging and Texting Solutions for Businesses
Bipolar Disorder,Stress Intolerance,Job Restructuring
Bipolar Disorder,Stress Intolerance,Marginal Functions
Bipolar Disorder,Stress Intolerance,Modified Break Schedule
Bipolar Disorder,Stress Intolerance,On-site Mentoring
Bipolar Disorder,Stress Intolerance,One-on-One Communication
Bipolar Disorder,Stress Intolerance,Policy Modification
Bipolar Disorder,Stress Intolerance,Positive Feedback
Bipolar Disorder,Stress Intolerance,Supervisory Feedback
Bipolar Disorder,Stress Intolerance,Supervisory Methods
Bipolar Disorder,Stress Intolerance,Support Animal
Bipolar Disorder,Stress Intolerance,Support Person
Bipolar Disorder,Policies,Additional Training Time / Training Refreshers
Bipolar Disorder,Policies,Aide/Assistant/Attendant
Bipolar Disorder,Policies,Environmental Sound Machines / Tinnitus Maskers / White Noise Machines
Bipolar Disorder,Policies,Flexible Schedule
Bipolar Disorder,Policies,Marginal Functions
Bipolar Disorder,Policies,Modified Break Schedule
Bipolar Disorder,Policies,Periodic Rest Breaks
Bipolar Disorder,Policies,Physical/Social Distancing Signage
Bipolar Disorder,Policies,Policy Modification
Bipolar Disorder,Policies,Reassignment
Bipolar Disorder,Policies,Service Animal
Bipolar Disorder,Policies,Sleep Alerting Devices
Bipolar Disorder,Policies,Strobe Lights
Bipolar Disorder,Policies,Supervisory Methods
Bipolar Disorder,Policies,Support Animal
Bipolar Disorder,Policies,"Telework, Work from Home, Working Remotely"
Bipolar Disorder,Policies,Touchless Faucets
Bipolar Disorder,Stress,Apps for Anxiety and Stress
Bipolar Disorder,Stress,Behavior Modification Techniques
Bipolar Disorder,Stress,Counseling/Therapy
Bipolar Disorder,Stress,Environmental Sound Machines / Tinnitus Maskers / White Noise Machines
Bipolar Disorder,Stress,Flexible Schedule
Bipolar Disorder,Stress,Job Coaches
Bipolar Disorder,Stress,Job Restructuring
Bipolar Disorder,Stress,Marginal Functions
Bipolar Disorder,Stress,Modified Break Schedule
Bipolar Disorder,Stress,Monitor Mirrors
Bipolar Disorder,Stress,Odor Control
Bipolar Disorder,Stress,On-site Mentoring
Bipolar Disorder,Stress,Service Animal
Bipolar Disorder,Stress,Simulated Skylights and Windows
Bipolar Disorder,Stress,Strobe Lights
Bipolar Disorder,Stress,Supervisory Methods
Bipolar Disorder,Stress,Support Animal
Bipolar Disorder,Stress,Support Person
Bipolar Disorder,Stress,"Telework, Work from Home, Working Remotely"
Bipolar Disorder,Stress,Uninterrupted Work Time
Bipolar Disorder,Use Cognitive Function,Additional Training Time / Training Refreshers
Bipolar Disorder,Use Cognitive Function,Aide/Assistant/Attendant
Bipolar Disorder,Use Cognitive Function,Color Coded System
Bipolar Disorder,Use Cognitive Function,Counting/Measuring Aids
Bipolar Disorder,Use Cognitive Function,Electronic Dictionaries
Bipolar Disorder,Use Cognitive Function,Electronic Organizers
Bipolar Disorder,Use Cognitive Function,Extra Time
Bipolar Disorder,Use Cognitive Function,"Fractional, Decimal, Statistical, or Scientific Calculators"
Bipolar Disorder,Use Cognitive Function,Job Coaches
Bipolar Disorder,Use Cognitive Function,Line Guides
Bipolar Disorder,Use Cognitive Function,Marginal Functions
Bipolar Disorder,Use Cognitive Function,Modified Break Schedule
Bipolar Disorder,Use Cognitive Function,On-site Mentoring
Bipolar Disorder,Use Cognitive Function,Personal On-Site Paging Devices
Bipolar Disorder,Use Cognitive Function,Professional Organizers
Bipolar Disorder,Use Cognitive Function,Reassignment
Bipolar Disorder,Use Cognitive Function,Reminders
Bipolar Disorder,Use Cognitive Function,Service Animal
Bipolar Disorder,Use Cognitive Function,Social Skill Builders
Bipolar Disorder,Use Cognitive Function,Support Person
Bipolar Disorder,Use Cognitive Function,Training Modifications
Bipolar Disorder,Use Cognitive Function,Uninterrupted Work Time
Bladder Impairment,Decreased Stamina/Fatigue,Aide/Assistant/Attendant
Bladder Impairment,Decreased Stamina/Fatigue,Job Restructuring
Bladder Impairment,Decreased Stamina/Fatigue,Periodic Rest Breaks
Bladder Impairment,Decreased Stamina/Fatigue,"Telework, Work from Home, Working Remotely"
Bladder Impairment,Decreased Stamina/Fatigue,Worksite Redesign / Modified Workspace
Bladder Impairment,Effect of/Receive Medical Treatment,Augmentative and Alternative Communication (AAC) Device
Bladder Impairment,Effect of/Receive Medical Treatment,Flexible Schedule
Bladder Impairment,Effect of/Receive Medical Treatment,Outgoing Voice Amplification - Telephone
Bladder Impairment,Effect of/Receive Medical Treatment,Personal On-Site Paging Devices
Bladder Impairment,Effect of/Receive Medical Treatment,Protective Eyewear
Bladder Impairment,Effect of/Receive Medical Treatment,"Telework, Work from Home, Working Remotely"
Bladder Impairment,Effect of/Receive Medical Treatment,Voice Amplification
Bladder Impairment,Lifting,Animal Lift Tables
Bladder Impairment,Lifting,Carts
Bladder Impairment,Lifting,Compact Mobile Cranes
Bladder Impairment,Lifting,Aerial Lifts
Bladder Impairment,Lifting,Ball Transfer Tables
Bladder Impairment,Lifting,Battery Powered Lift Tables
Bladder Impairment,Lifting,Drum Handling
Bladder Impairment,Lifting,Engine Lifts and Lift Plates
Bladder Impairment,Lifting,Lift Gates
Bladder Impairment,Lifting,Lift Tables
Bladder Impairment,Lifting,Rolling Safety Ladders
Bladder Impairment,Lifting,Stairclimbing Handtrucks
Bladder Impairment,Lifting,Truck Mounted Cranes
Bladder Impairment,Lifting,Vacuum Lifts
Bladder Impairment,Lifting,Vehicle Lifts and Manipulators
Bladder Impairment,Lifting,Winches and Chain Hoists
Bladder Impairment,Lifting,Work Platforms
Bladder Impairment,Lifting,Compact Material Handling
Bladder Impairment,Lifting,Ergonomic Assessments
Bladder Impairment,Lifting,Ergonomic Equipment
Bladder Impairment,Lifting,Height Adjustable Table Legs
Bladder Impairment,Lifting,Low Task Chair
Bladder Impairment,Lifting,Drywall and Wallboard Lifts
Bladder Impairment,Lifting,Independent Living Aids
Bladder Impairment,Lifting,Job Restructuring
Bladder Impairment,Lifting,Lifting Aids
Bladder Impairment,Lifting,Lifters and Carriers for Mobility Aids
Bladder Impairment,Lifting,Manhole Cover Lifts
Bladder Impairment,Lifting,Periodic Rest Breaks
Bladder Impairment,Lifting,Power Lift IV Stands
Bladder Impairment,Lifting,Proper Lifting Techniques
Bladder Impairment,Lifting,Accessible Baby Changing Stations
Bladder Impairment,Lifting,Adjustable Exam Tables
Bladder Impairment,Lifting,Adult Changing Tables
Bladder Impairment,Lifting,Bath Chairs
Bladder Impairment,Lifting,Evacuation Devices
Bladder Impairment,Lifting,Large-Rated Wheelchair Lifts
Bladder Impairment,Lifting,Pool Lifts
Bladder Impairment,Lifting,Patient Lifts (General)
Bladder Impairment,Lifting,Powered Bath Lifts
Bladder Impairment,Lifting,Toileting Aids
Bladder Impairment,Lifting,Transfer Aids
Bladder Impairment,Lifting,Transfer Sheets
Bladder Impairment,Lifting,Walk-up Changing Tables
Bladder Impairment,Lifting,Wheelchair Lifts
Bladder Impairment,Toileting/Grooming Issue,Accessible Toilets and Toilet Seats
Bladder Impairment,Toileting/Grooming Issue,Aide/Assistant/Attendant
Bladder Impairment,Toileting/Grooming Issue,Flexible Schedule
Bladder Impairment,Toileting/Grooming Issue,Grab Bars - Toilet Hinged Arm Support
Bladder Impairment,Toileting/Grooming Issue,Grooming and Dressing Aids
Bladder Impairment,Toileting/Grooming Issue,Independent Living Aids
Bladder Impairment,Toileting/Grooming Issue,Modified Break Schedule
Bladder Impairment,Toileting/Grooming Issue,Swing Away Grab Bars
Bladder Impairment,Toileting/Grooming Issue,"Telework, Work from Home, Working Remotely"
Bladder Impairment,Toileting/Grooming Issue,Toileting Aids
Bladder Impairment,Toileting/Grooming Issue,Transfer Aids
Bladder Impairment,Toileting/Grooming Issue,Transfer Sheets
Bladder Impairment,Toileting/Grooming Issue,Worksite Redesign / Modified Workspace
Bladder Impairment,Commute,Flexible Schedule
Bladder Impairment,Commute,Ridesharing/Carpooling
Bladder Impairment,Commute,"Telework, Work from Home, Working Remotely"
Bladder Impairment,Commute,Transportation Assistance
Bladder Impairment,Commute,Van Conversion
Bleeding Disorder,Decreased Stamina/Fatigue,Accessories for Scooters
Bleeding Disorder,Decreased Stamina/Fatigue,Aide/Assistant/Attendant
Bleeding Disorder,Decreased Stamina/Fatigue,All-Terrain Scooters
Bleeding Disorder,Decreased Stamina/Fatigue,Anti-fatigue Matting
Bleeding Disorder,Decreased Stamina/Fatigue,Elevating Wheelchairs
Bleeding Disorder,Decreased Stamina/Fatigue,Ergonomic and Pneumatic Tools
Bleeding Disorder,Decreased Stamina/Fatigue,Ergonomic Assessments
Bleeding Disorder,Decreased Stamina/Fatigue,Ergonomic Equipment
Bleeding Disorder,Decreased Stamina/Fatigue,Examination and Procedures Chair
Bleeding Disorder,Decreased Stamina/Fatigue,Flexible Schedule
Bleeding Disorder,Decreased Stamina/Fatigue,Head Support for Wheelchairs
Bleeding Disorder,Decreased Stamina/Fatigue,Job Restructuring
Bleeding Disorder,Decreased Stamina/Fatigue,Low Task Chair
Bleeding Disorder,Decreased Stamina/Fatigue,Mechanic's Seats and Creepers
Bleeding Disorder,Decreased Stamina/Fatigue,Multi-Purpose Carts
Bleeding Disorder,Decreased Stamina/Fatigue,Periodic Rest Breaks
Bleeding Disorder,Decreased Stamina/Fatigue,Scooters
Bleeding Disorder,Decreased Stamina/Fatigue,Stand-lean Stools
Bleeding Disorder,Decreased Stamina/Fatigue,Stools for Cutting Hair
Bleeding Disorder,Decreased Stamina/Fatigue,"Telework, Work from Home, Working Remotely"
Bleeding Disorder,Decreased Stamina/Fatigue,Walkers
Bleeding Disorder,Decreased Stamina/Fatigue,Wearable Anti-fatigue Matting
Bleeding Disorder,Decreased Stamina/Fatigue,Wheelchair Accessible Scales
Bleeding Disorder,Decreased Stamina/Fatigue,Wheelchair Mounts
Bleeding Disorder,Decreased Stamina/Fatigue,Wheelchairs
Bleeding Disorder,Decreased Stamina/Fatigue,Worksite Redesign / Modified Workspace
Bleeding Disorder,Overall Body Weakness/Strength,Adjustable and Ergonomic School Desks and Equipment
Bleeding Disorder,Overall Body Weakness/Strength,Aide/Assistant/Attendant
Bleeding Disorder,Overall Body Weakness/Strength,Animal Lift Tables
Bleeding Disorder,Overall Body Weakness/Strength,Anti-fatigue Matting
Bleeding Disorder,Overall Body Weakness/Strength,Battery Powered Lift Tables
Bleeding Disorder,Overall Body Weakness/Strength,Compact Material Handling
Bleeding Disorder,Overall Body Weakness/Strength,Elevating Wheelchairs
Bleeding Disorder,Overall Body Weakness/Strength,Ergonomic  and Adjustable Office Chairs
Bleeding Disorder,Overall Body Weakness/Strength,Ergonomic Equipment
Bleeding Disorder,Overall Body Weakness/Strength,Fall Protection
Bleeding Disorder,Overall Body Weakness/Strength,Foldable / Transport Wheelchairs
Bleeding Disorder,Overall Body Weakness/Strength,Forearm Support
Bleeding Disorder,Overall Body Weakness/Strength,Grab Bars
Bleeding Disorder,Overall Body Weakness/Strength,Hands Free Resuscitation Devices
Bleeding Disorder,Overall Body Weakness/Strength,Independent Living Aids
Bleeding Disorder,Overall Body Weakness/Strength,Large-Rated Scooters
Bleeding Disorder,Overall Body Weakness/Strength,Large-Rated Wheelchairs
Bleeding Disorder,Overall Body Weakness/Strength,Lift Tables
Bleeding Disorder,Overall Body Weakness/Strength,Linen Carts
Bleeding Disorder,Overall Body Weakness/Strength,Modified Break Schedule
Bleeding Disorder,Overall Body Weakness/Strength,Multi-Purpose Carts
Bleeding Disorder,Overall Body Weakness/Strength,Office Chairs with Brakes and Locking Casters
Bleeding Disorder,Overall Body Weakness/Strength,Patient Lifts (General)
Bleeding Disorder,Overall Body Weakness/Strength,Periodic Rest Breaks
Bleeding Disorder,Overall Body Weakness/Strength,Personal Safety and Fall Alert Devices
Bleeding Disorder,Overall Body Weakness/Strength,Personal Transportation and Mobility Products
Bleeding Disorder,Overall Body Weakness/Strength,"Pickups, Semis, and Heavy Equipment"
Bleeding Disorder,Overall Body Weakness/Strength,Power Assist for Manual Wheelchairs
Bleeding Disorder,Overall Body Weakness/Strength,Scooters
Bleeding Disorder,Overall Body Weakness/Strength,Stair Lifts
Bleeding Disorder,Overall Body Weakness/Strength,Stand-lean Stools
Bleeding Disorder,Overall Body Weakness/Strength,Stand-up Wheelchairs
Bleeding Disorder,Overall Body Weakness/Strength,Stools for Cutting Hair
Bleeding Disorder,Overall Body Weakness/Strength,"Telework, Work from Home, Working Remotely"
Bleeding Disorder,Overall Body Weakness/Strength,Toileting Aids
Bleeding Disorder,Overall Body Weakness/Strength,Walk-up Changing Tables
Bleeding Disorder,Overall Body Weakness/Strength,Walkers
Bleeding Disorder,Overall Body Weakness/Strength,Walkers with Seats
Bleeding Disorder,Overall Body Weakness/Strength,Wearable Anti-fatigue Matting
Bleeding Disorder,Overall Body Weakness/Strength,Wheelchairs
Bleeding Disorder,Overall Body Weakness/Strength,Worksite Redesign / Modified Workspace
Bleeding Disorder,Temperature Sensitivity,Air Deflectors
Bleeding Disorder,Temperature Sensitivity,Cold Resistant Gloves
Bleeding Disorder,Temperature Sensitivity,Cooling Clothing
Bleeding Disorder,Temperature Sensitivity,Fans
Bleeding Disorder,Temperature Sensitivity,Flexible Schedule
Bleeding Disorder,Temperature Sensitivity,Heated Clothing
Bleeding Disorder,Temperature Sensitivity,Heated Ergonomic and Computer Products
Bleeding Disorder,Temperature Sensitivity,Heated Gloves
Bleeding Disorder,Temperature Sensitivity,Portable Air Conditioners
Bleeding Disorder,Temperature Sensitivity,"Telework, Work from Home, Working Remotely"
Bleeding Disorder,Temperature Sensitivity,Vent Covers
Bleeding Disorder,Temperature Sensitivity,Workstation Space Heaters
Bleeding Disorder,Policies,Additional Training Time / Training Refreshers
Bleeding Disorder,Policies,Aide/Assistant/Attendant
Bleeding Disorder,Policies,Environmental Sound Machines / Tinnitus Maskers / White Noise Machines
Bleeding Disorder,Policies,Flexible Schedule
Bleeding Disorder,Policies,Marginal Functions
Bleeding Disorder,Policies,Modified Break Schedule
Bleeding Disorder,Policies,Periodic Rest Breaks
Bleeding Disorder,Policies,Physical/Social Distancing Signage
Bleeding Disorder,Policies,Policy Modification
Bleeding Disorder,Policies,Reassignment
Bleeding Disorder,Policies,Service Animal
Bleeding Disorder,Policies,Sleep Alerting Devices
Bleeding Disorder,Policies,Strobe Lights
Bleeding Disorder,Policies,Supervisory Methods
Bleeding Disorder,Policies,Support Animal
Bleeding Disorder,Policies,"Telework, Work from Home, Working Remotely"
Bleeding Disorder,Policies,Touchless Faucets
Bleeding Disorder,Safety Standards,Additional Training Time / Training Refreshers
Bleeding Disorder,Safety Standards,Aerial Lifts
Bleeding Disorder,Safety Standards,Alerting Devices
Bleeding Disorder,Safety Standards,Body Protection
Bleeding Disorder,Safety Standards,Break Reminder Software
Bleeding Disorder,Safety Standards,Custom Shoes
Bleeding Disorder,Safety Standards,Cut and Puncture Resistant Gloves and Sleeves
Bleeding Disorder,Safety Standards,Designated Responders
Bleeding Disorder,Safety Standards,Stair Tread/Textured Tape
Bleeding Disorder,Safety Standards,Steel Toe Shoes & Toe Guards
Bleeding Disorder,Safety Standards,Workplace Safety
Bleeding Disorder,Safety Standards,Vehicle Rear Vision System
Bleeding Disorder,Safety Standards,Safety-Related Equipment for Little People
Bleeding Disorder,Safety Standards,Seat Belts & Seat Belt Extenders
Bleeding Disorder,Safety Standards,Machine Guards and Shields
Bleeding Disorder,Safety Standards,Rolling Safety Ladders
Bleeding Disorder,Safety Standards,Protective Eyewear
Bleeding Disorder,Safety Standards,Plan of Action
Bleeding Disorder,Safety Standards,Personal Safety and Fall Alert Devices
Bleeding Disorder,Safety Standards,High Visibility Floor Tape and Paint
Bleeding Disorder,Safety Standards,Large-Rated Harnesses
Bleeding Disorder,Safety Standards,Ergonomic Assessments
Bleeding Disorder,Safety Standards,Ergonomic Equipment
Bleeding Disorder,Safety Standards,Fall Protection
Bleeding Disorder,Safety Standards,Evacuation Devices
Bleeding Disorder,Safety Standards,Established Routes of Travel for Heavy Equipment/Vehicles
Blindness,Blind - Total,Aide/Assistant/Attendant
Blindness,Blind - Total,Braille Labelers
Blindness,Blind - Total,Computer Braille Display
Blindness,Blind - Total,Computer Phone Software
Blindness,Blind - Total,Detectable Warning Surfaces
Blindness,Blind - Total,Flexible Schedule
Blindness,Blind - Total,"Headsets - Computer (USB, VOIP etc.)"
Blindness,Blind - Total,High Visibility Floor Tape and Paint
Blindness,Blind - Total,Job Restructuring
Blindness,Blind - Total,Keyboard Tops and Labels
Blindness,Blind - Total,Optical Character Recognition (OCR) Systems - Scan
Blindness,Blind - Total,Qualified Reader
Blindness,Blind - Total,Ridesharing/Carpooling
